County_Name,State_Name,Land_Area,Population_Density,Census_2010,Estimates_Base,Estimate_2010,Estimate_2011,Estimate_2012,Estimate_2013,Estimate_2014,Estimate_2015,Estimate_2016,Estimate_2017,Estimate_2018,Estimate_2019
Covington County,Alabama,2700,36/sq mi (14/km2),37765,37762,37809,38020,37805,37814,37760,37556,37382,37062,36953,37049
Crenshaw County,Alabama,1580,23/sq mi (8.8/km2),13906,13893,13869,13894,13915,13847,13851,13850,13916,13858,13825,13772
Cullman County,Alabama,1900,110/sq mi (41/km2),80406,80406,80456,80410,80279,80690,81068,81761,82450,82867,83418,83768
Dale County,Alabama,1450,89/sq mi (34/km2),50251,50251,50394,50122,50289,49771,49414,49365,49362,49342,49143,49172
Dallas County,Alabama,2540,44/sq mi (17/km2),43820,43813,43854,43251,42789,41976,41554,40936,40080,39238,38294,37196
DeKalb County,Alabama,2010,91/sq mi (35/km2),71109,71120,71163,71365,70944,70912,70993,71087,71104,71437,71407,71513
Elmore County,Alabama,1600,120/sq mi (47/km2),79303,79272,79552,79993,80193,80536,80538,80872,81204,81422,81011,81209
Escambia County,Alabama,2450,40/sq mi (16/km2),38319,38320,38345,38204,38023,37765,37735,37661,37475,36993,36524,36633
Etowah County,Alabama,1390,190/sq mi (73/km2),104430,104429,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268
Fayette County,Alabama,1630,27/sq mi (11/km2),17241,17235,17229,17052,16945,16824,16772,16696,16563,16466,16445,16302
Franklin County,Alabama,1640,49/sq mi (19/km2),31704,31709,31746,31776,31690,31553,31559,31515,31611,31542,31298,31362
Geneva County,Alabama,1490,46/sq mi (18/km2),26790,26781,26777,26756,26924,26677,26593,26631,26494,26385,26306,26271
Greene County,Alabama,1680,14/sq mi (5.3/km2),9045,9039,8991,8903,8848,8748,8584,8508,8482,8310,8209,8111
Hale County,Alabama,1670,24/sq mi (9.3/km2),15760,15762,15745,15361,15364,15246,15046,15015,14828,14801,14749,14651
Henry County,Alabama,1460,30/sq mi (12/km2),17302,17299,17296,17377,17153,17129,17079,17101,17072,17115,17173,17205
Houston County,Alabama,1500,170/sq mi (67/km2),101547,101560,101798,102488,103371,103643,104158,104260,104218,104378,104770,105882
Jackson County,Alabama,2790,47/sq mi (18/km2),53227,53223,53184,53214,53079,52957,52562,52195,51988,51828,51621,51626
Jefferson County,Alabama,2880,590/sq mi (230/km2),658466,658567,658215,658109,658061,659265,659972,660455,660343,659599,659429,658573
Lamar County,Alabama,1570,24/sq mi (9.3/km2),14564,14564,14496,14291,14248,14212,14067,13927,13928,13882,13882,13805
Lauderdale County,Alabama,1730,130/sq mi (50/km2),92709,92709,92737,92607,92662,92701,93000,92459,92425,92564,92604,92729
Lawrence County,Alabama,1790,48/sq mi (18/km2),34339,34337,34342,34051,33806,33575,33444,33135,33227,33063,32941,32924
Lee County,Alabama,1570,230/sq mi (88/km2),140247,140287,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542
Limestone County,Alabama,1500,140/sq mi (53/km2),82782,82786,83181,85557,87326,88916,90599,91565,92847,94130,96177,98915
Lowndes County,Alabama,1850,16/sq mi (6.0/km2),11299,11296,11289,11140,10851,10661,10494,10350,10248,10097,9974,9726
Macon County,Alabama,1580,35/sq mi (14/km2),21452,21448,21505,21284,20608,20021,19641,19296,19060,18793,18321,18068
Madison County,Alabama,2080,410/sq mi (160/km2),334811,334807,336095,339565,342730,346625,349796,352977,356729,361762,367004,372909
Marengo County,Alabama,2530,21/sq mi (8.3/km2),21027,21048,20956,20661,20375,20119,19986,19766,19525,19396,19056,18863
Marion County,Alabama,1920,41/sq mi (16/km2),30776,30776,30816,30652,30484,30224,30199,30119,29960,29792,29750,29709
Marshall County,Alabama,1470,150/sq mi (58/km2),93019,93019,93122,93895,94260,94356,94257,94585,95113,95572,96170,96774
Mobile County,Alabama,3180,337/sq mi (130/km2),412992,413139,413315,413068,413816,413918,414149,414462,414945,414045,413908,413210
Monroe County,Alabama,2660,22/sq mi (8.6/km2),23068,23067,23005,22796,22581,22170,21926,21717,21548,21290,21062,20733
Montgomery County,Alabama,2030,290/sq mi (110/km2),229363,229375,229505,229189,228874,228190,227551,227279,227170,227265,226504,226486
Morgan County,Alabama,1500,200/sq mi (77/km2),119490,119490,119608,120024,120102,119571,119444,119257,119006,118918,119203,119679
Perry County,Alabama,1900,15/sq mi (5.6/km2),10591,10575,10563,10450,10163,9999,9801,9640,9532,9302,9070,8923
Pickens County,Alabama,2280,22/sq mi (8.6/km2),19746,19746,19749,19354,19309,19300,20272,20776,20325,20204,19980,19930
Pike County,Alabama,1740,49/sq mi (19/km2),32899,32901,32970,33025,33215,33715,33199,33496,33464,33349,33242,33114
Randolph County,Alabama,1500,39/sq mi (15/km2),22913,22916,22937,22745,22533,22547,22353,22594,22504,22687,22727,22722
Russell County,Alabama,1660,82/sq mi (32/km2),52947,52963,53321,54852,57500,59149,59224,58844,58185,56985,57784,57961
St. Clair County,Alabama,1640,130/sq mi (49/km2),83593,83350,83571,83975,84761,85810,85996,86546,87306,87926,88654,89512
Shelby County,Alabama,2030,240/sq mi (93/km2),195085,195253,196032,197952,200912,204039,206280,208959,211282,213633,215583,217702
Sumter County,Alabama,2340,15/sq mi (5.8/km2),13763,13763,13730,13490,13440,13394,13270,13206,12967,12749,12634,12427
Talladega County,Alabama,1910,110/sq mi (42/km2),82291,82353,82172,81863,82146,81578,81512,81128,80552,80142,80137,79978
Tallapoosa County,Alabama,1860,54/sq mi (21/km2),41616,41618,41476,41402,41048,41028,40884,40605,40586,40613,40535,40367
Tuscaloosa County,Alabama,3420,140/sq mi (56/km2),194656,194667,194996,196745,198807,201084,203086,204767,206464,207618,208319,209355
Walker County,Alabama,2050,83/sq mi (32/km2),67023,67020,66997,66585,66104,65777,65338,64931,64533,63895,63669,63521
Washington County,Alabama,2800,16/sq mi (6.2/km2),17581,17580,17626,17355,17146,16897,16868,16832,16621,16522,16402,16326
Wilcox County,Alabama,2300,13/sq mi (5.0/km2),11670,11664,11560,11438,11302,11145,10946,10896,10844,10691,10599,10373
Winston County,Alabama,1590,39/sq mi (15/km2),24484,24488,24412,24362,24193,24189,24139,23930,23907,23760,23693,23629
Aleutians East Borough,Alaska,18080,0.21/sq mi (0.081/km2),3141,3141,3166,3259,3294,3343,3346,3373,3363,3455,3395,3337
Aleutians West Census Area,Alaska,11400,1.27/sq mi (0.49/km2),5561,5561,5559,5582,5676,5777,5822,5781,5705,5729,5640,5634
Anchorage Municipality,Alaska,4420.59,170.81/sq mi (65.95/km2),291826,291836,293321,296197,298255,301142,299893,297547,297249,294338,290521,288000
Bethel Census Area,Alaska,105100,0.42/sq mi (0.16/km2),17013,17013,17084,17419,17656,17852,17936,17955,18022,18090,18219,18386
Bristol Bay Borough,Alaska,1310,1.1/sq mi (0.43/km2),997,997,1002,1030,979,951,947,904,902,869,880,836
Denali Borough,Alaska,33020,0.14/sq mi (0.055/km2),1826,1822,1835,1872,1908,1943,1916,1933,2055,2084,2032,2097
Dillingham Census Area,Alaska,48090,0.26/sq mi (0.10/km2),4847,4847,4850,4947,4949,4978,4983,4988,4970,4940,4991,4916
Fairbanks North Star Borough,Alaska,19010,13/sq mi (5.1/km2),97581,97585,98264,98120,100311,100933,99254,99636,100633,99675,98565,96849
Haines Borough,Alaska,6010,0.92/sq mi (0.36/km2),2508,2508,2501,2574,2577,2558,2555,2516,2531,2524,2488,2530
Hoonah-Angoon Census Area,Alaska,19490,0.29/sq mi (0.11/km2),2150,2103,2107,2085,2114,2116,2098,2132,2121,2139,2155,2148
Juneau City and Borough,Alaska,7003,11.88/sq mi (4.59/km2),31275,31276,31387,32161,32384,32594,32481,32615,32412,32098,32037,31974
Kenai Peninsula Borough,Alaska,41630,2.2/sq mi (0.86/km2),55400,55400,55554,56299,56900,57014,57558,58034,58458,58558,58561,58708
Ketchikan Gateway Borough,Alaska,12580,2.0/sq mi (0.78/km2),13477,13526,13573,13674,13729,13722,13802,13702,13707,13834,13856,13901
Kodiak Island Borough,Alaska,17000,1.1/sq mi (0.44/km2),13592,13606,13646,13806,14037,14093,13907,13767,13728,13512,13250,12998
Kusilvak Census Area,Alaska,44240,0.44/sq mi (0.17/km2),7459,7459,7467,7651,7794,7974,8100,8194,8181,8236,8323,8314
Lake and Peninsula Borough,Alaska,61260,0.050/sq mi (0.019/km2),1631,1635,1639,1649,1649,1667,1647,1595,1600,1612,1596,1592
Matanuska-Susitna Borough,Alaska,63730,3.5/sq mi (1.4/km2),88995,88985,89732,91725,93677,95880,98103,101062,104119,106232,107115,108317
Nome Census Area,Alaska,59470,0.41/sq mi (0.16/km2),9492,9492,9543,9776,9824,9852,9810,9893,9966,10025,10053,10004
North Slope Borough,Alaska,229720,0.099/sq mi (0.038/km2),9430,9430,9478,9554,9698,9792,9776,9788,9694,9795,9850,9832
Northwest Arctic Borough,Alaska,92130,0.18/sq mi (0.071/km2),7523,7523,7560,7705,7705,7725,7772,7772,7691,7795,7694,7621
Petersburg Borough,Alaska,9920,1.00/sq mi (0.38/km2),3815,3207,3219,3255,3277,3291,3261,3253,3260,3264,3244,3266
Prince of Wales-Hyder Census Area,Alaska,10160,1.42/sq mi (0.55/km2),5559,6168,6211,6373,6423,6446,6463,6508,6519,6444,6360,6203
Sitka City and Borough,Alaska,7433.31,3.01/sq mi (1.16/km2),8881,8881,8881,8884,9017,8973,8838,8778,8736,8641,8554,8493
Skagway Municipality,Alaska,1170,2.1/sq mi (0.81/km2),968,968,968,962,998,1026,1054,1088,1132,1167,1169,1183
Southeast Fairbanks Census Area,Alaska,64150,0.28/sq mi (0.11/km2),7029,7029,7061,7150,7172,6986,6925,6812,6857,6892,6937,6893
Valdez-Cordova Census Area,Alaska,88700,0.28/sq mi (0.11/km2),9636,9636,9657,9740,9734,9781,9478,9319,9314,9220,9161,9202
Wrangell City and Borough,Alaska,6620,0.98/sq mi (0.38/km2),2369,2365,2371,2394,2420,2448,2441,2453,2496,2521,2538,2502
Yakutat City and Borough,Alaska,19812,0.070/sq mi (0.027/km2),662,662,662,656,664,651,655,635,612,602,596,579
Yukon-Koyukuk Census Area,Alaska,376860,0.038/sq mi (0.015/km2),5588,5588,5612,5629,5622,5560,5462,5465,5423,5409,5359,5230
Apache County,Arizona,29000,6.4/sq mi (2.5/km2),71518,71517,71829,72182,72229,72322,71796,71012,71381,71545,71731,71887
Cochise County,Arizona,15970,21/sq mi (8.2/km2),131346,131359,131822,133097,132017,129578,127314,126454,125686,124864,126411,125922
Coconino County,Arizona,48220,7.2/sq mi (2.8/km2),134421,134426,134612,134275,136146,136699,137566,138962,140407,141001,142523,143476
Gila County,Arizona,12320,11/sq mi (4.3/km2),53597,53592,53561,53440,52994,53005,53044,52978,53356,53578,53801,54018
Graham County,Arizona,11970,8.0/sq mi (3.1/km2),37220,37212,37152,37126,37015,37433,38099,37860,37807,37481,37995,38837
Greenlee County,Arizona,4770,4.6/sq mi (1.8/km2),8437,8444,8339,8585,8764,8916,9349,9577,9643,9443,9448,9498
La Paz County,Arizona,12000,4.5/sq mi (1.8/km2),20489,20489,20497,20604,20521,20522,20516,20466,20648,20706,21039,21108
Maricopa County,Arizona,24000,410/sq mi (160/km2),3817117,3817365,3825110,3874996,3947505,4017723,4093648,4172905,4256143,4327184,4402403,4485414
Mohave County,Arizona,34480,15/sq mi (5.7/km2),200186,200182,200314,202812,203347,203126,203423,204574,205412,207017,209292,212181
Navajo County,Arizona,25800,11/sq mi (4.2/km2),107449,107488,107697,107552,107313,107135,107701,107638,108467,109079,110242,110924
Pima County,Arizona,23790,110/sq mi (41/km2),980263,980263,981620,988381,993052,997127,1004229,1009103,1016707,1026391,1036554,1047279
Pinal County,Arizona,13900,70/sq mi (27/km2),375770,375764,379094,378041,382251,385398,395322,405614,417193,431564,446806,462789
Santa Cruz County,Arizona,3200,38/sq mi (15/km2),47420,47420,47415,47667,47359,46939,46636,46542,46400,46566,46395,46498
Yavapai County,Arizona,21040,26/sq mi (10/km2),211033,211017,210983,211044,211990,214421,217716,220805,224575,228082,231772,235099
Yuma County,Arizona,14280,35/sq mi (14/km2),195751,195750,197127,202841,202475,202420,204054,205186,207247,209507,211612,213787
Arkansas County,Arkansas,2560.2,18/sq mi (7.1/km2),19019,19007,19009,18871,18964,18755,18479,18330,18154,17872,17726,17486
Ashley County,Arkansas,1482.45,37/sq mi (14/km2),21853,21845,21829,21673,21515,21278,20956,20838,20530,20311,20012,19657
Baxter County,Arkansas,1430,71/sq mi (27/km2),41513,41511,41510,41349,41080,40983,40888,41138,41131,41308,41624,41932
Benton County,Arkansas,2190,250/sq mi (97/km2),221339,221348,222593,229171,234938,239461,244841,251591,259212,266585,272266,279141
Boone County,Arkansas,1500,61/sq mi (24/km2),36903,36920,36893,37086,37333,37328,37116,37119,37259,37459,37385,37432
Bradley County,Arkansas,1680,18/sq mi (6.8/km2),11508,11505,11470,11432,11266,11120,11007,10999,10959,10813,10838,10763
Calhoun County,Arkansas,1630,8.5/sq mi (3.3/km2),5368,5368,5362,5243,5278,5192,5167,5200,5143,5201,5227,5189
Carroll County,Arkansas,1600,43/sq mi (17/km2),27446,27449,27553,27466,27623,27791,27734,27755,27728,27865,28097,28380
Chicot County,Arkansas,1670,17/sq mi (6.6/km2),11800,11800,11799,11703,11498,11362,11211,10970,10899,10647,10442,10118
Clark County,Arkansas,2240,26/sq mi (10/km2),22995,22991,22925,22928,22755,22582,22557,22513,22602,22184,22313,22320
Clay County,Arkansas,1660,25/sq mi (9.7/km2),16083,16083,16050,15876,15710,15484,15299,15206,15060,14865,14763,14551
Cleburne County,Arkansas,1430,44/sq mi (17/km2),25970,25964,25986,25875,25763,25625,25591,25355,25173,25059,24994,24919
Cleveland County,Arkansas,1550,15/sq mi (5.6/km2),8689,8692,8677,8674,8609,8515,8399,8284,8245,8162,7995,7956
Columbia County,Arkansas,1980,32/sq mi (12/km2),24552,24552,24723,24709,24413,24284,24049,24115,24026,23695,23586,23457
Conway County,Arkansas,1440.4,37.5/sq mi (14.5/km2),21273,21267,21219,21128,21141,21088,20995,20936,20874,20810,20825,20846
Craighead County,Arkansas,1830,140/sq mi (52/km2),96443,96443,96748,98405,99993,101653,102661,104457,105932,107188,108816,110332
Crawford County,Arkansas,1540,100/sq mi (40/km2),61948,61935,61956,61796,61911,61667,61807,61904,62263,62894,63379,63257
Crittenden County,Arkansas,1600,80/sq mi (31/km2),50902,50907,50958,50517,50077,49739,49536,49019,49306,48716,48363,47955
Cross County,Arkansas,1600,29/sq mi (11/km2),17870,17878,17862,17809,17703,17521,17181,17255,17025,16792,16630,16419
Dallas County,Arkansas,1730,12/sq mi (4.7/km2),8116,8124,8066,8056,7952,7892,7691,7530,7399,7307,7152,7009
Desha County,Arkansas,1990,16/sq mi (6.1/km2),13008,13002,12954,12731,12590,12502,12270,12029,11905,11743,11507,11361
Drew County,Arkansas,2140,22/sq mi (8.5/km2),18509,18517,18666,18735,18788,18686,18642,18613,18553,18370,18328,18219
Faulkner County,Arkansas,1680,170/sq mi (66/km2),113237,113238,114026,116280,118523,119176,120562,121241,122206,123530,125138,126007
Franklin County,Arkansas,1580,29/sq mi (11/km2),18125,18137,18142,18009,17959,17915,17828,17749,17655,17809,17764,17715
Fulton County,Arkansas,1600,20/sq mi (7.6/km2),12245,12236,12215,12240,12169,12170,12081,12138,12099,12131,12308,12477
Garland County,Arkansas,1760,130/sq mi (50/km2),96024,95999,96067,96854,96986,97654,97758,97814,98282,98327,98966,99386
Grant County,Arkansas,1640,28/sq mi (11/km2),17853,17842,17886,17947,18038,18046,18074,18016,18064,18103,18180,18265
Greene County,Arkansas,1500,,42090,42090,42201,42763,43229,43160,43788,44300,44730,44993,45339,45325
Hempstead County,Arkansas,1890,31/sq mi (12/km2),22609,22587,22596,22488,22344,22420,22326,22085,22032,21876,21685,21532
Hot Spring County,Arkansas,1592.7,53/sq mi (20/km2),32923,33011,33231,33142,33507,33528,33409,33497,33438,33606,33672,33771
Howard County,Arkansas,1530,23/sq mi (8.9/km2),13789,13781,13796,13816,13675,13543,13492,13336,13350,13365,13302,13202
Independence County,Arkansas,1980,47/sq mi (18/km2),36647,36641,36809,36884,36953,36885,37080,37035,37117,37391,37768,37825
Izard County,Arkansas,1500,23/sq mi (9.1/km2),13696,13703,13726,13572,13541,13411,13557,13487,13488,13666,13582,13629
Jackson County,Arkansas,1640,28/sq mi (11/km2),17997,17998,18057,17887,17680,17729,17591,17365,17282,17017,16753,16719
Jefferson County,Arkansas,2260,85/sq mi (33/km2),77435,77456,77341,76039,74634,73191,72458,71872,70407,69238,68067,66824
Johnson County,Arkansas,1700,37/sq mi (14/km2),25540,25545,25556,25675,25914,25932,25969,26094,26127,26401,26659,26578
Lafayette County,Arkansas,1370,14/sq mi (5.4/km2),7645,7643,7647,7536,7450,7284,7158,7010,6888,6797,6679,6624
Lawrence County,Arkansas,1520,29/sq mi (11/km2),17415,17410,17518,17282,17040,17054,16969,16696,16639,16571,16432,16406
Lee County,Arkansas,1560,17/sq mi (6.5/km2),10424,10428,10395,10291,10184,10010,9839,9672,9337,9127,8976,8857
Lincoln County,Arkansas,1453.5,25/sq mi (9.5/km2),14134,14141,14089,14339,14180,14063,14025,13866,13728,13475,13184,13024
Little River County,Arkansas,1380,23/sq mi (9.0/km2),13171,13168,13132,12945,12916,12733,12503,12402,12406,12373,12297,12259
Logan County,Arkansas,1830,31/sq mi (12/km2),22353,22361,22308,22242,21928,22031,21866,21729,21732,21739,21673,21466
Lonoke County,Arkansas,2000,85/sq mi (33/km2),68356,68382,68744,69529,70109,70742,71368,71359,71803,72778,73391,73309
Madison County,Arkansas,2160,19/sq mi (7.3/km2),15717,15723,15684,15662,15597,15679,15731,15705,16112,16299,16362,16576
Marion County,Arkansas,1550,26/sq mi (10/km2),16653,16644,16665,16671,16621,16444,16423,16215,16376,16429,16665,16694
Miller County,Arkansas,1616.1,68/sq mi (26/km2),43462,43462,43562,43762,43663,43402,43458,43792,43713,43736,43362,43257
Mississippi County,Arkansas,2330,51/sq mi (20/km2),46480,46481,46399,46031,45553,44695,44247,43729,42900,42112,41236,40651
Monroe County,Arkansas,1570,13/sq mi (5.1/km2),8149,8155,8138,8099,7854,7690,7634,7452,7205,7013,6880,6701
Montgomery County,Arkansas,2000,12/sq mi (4.6/km2),9487,9497,9510,9402,9340,9252,9162,9027,8936,8890,8910,8986
Nevada County,Arkansas,1600,14/sq mi (5.6/km2),8997,9020,8997,9008,8909,8772,8645,8508,8378,8309,8308,8252
Newton County,Arkansas,2130,10/sq mi (3.9/km2),8330,8315,8304,8251,8052,8042,7867,7846,7848,7815,7800,7753
Ouachita County,Arkansas,1900,35/sq mi (14/km2),26120,26128,26046,25737,25398,24948,24761,24316,24013,23817,23620,23382
Perry County,Arkansas,1430,19/sq mi (7.2/km2),10445,10444,10444,10383,10328,10335,10360,10307,10286,10346,10380,10455
Phillips County,Arkansas,1800,30/sq mi (12/km2),21757,21755,21676,21406,20736,20437,19952,19546,19050,18599,18054,17782
Pike County,Arkansas,1560,18/sq mi (7.1/km2),11291,11287,11264,11241,11254,11121,10989,10837,10826,10735,10666,10718
Poinsett County,Arkansas,1960,32/sq mi (12/km2),24583,24576,24515,24449,24299,24187,24152,24002,23974,24071,23903,23528
Polk County,Arkansas,2220,24/sq mi (9.3/km2),20662,20654,20667,20558,20420,20342,20249,20194,20145,20147,20019,19964
Pope County,Arkansas,2110,74/sq mi (29/km2),61754,61753,62109,62687,62631,62588,63117,63608,63897,63634,63594,64072
Prairie County,Arkansas,1680,13/sq mi (5.0/km2),8715,8716,8722,8599,8482,8375,8347,8299,8252,8248,8082,8062
Pulaski County,Arkansas,2000,470/sq mi (180/km2),382748,382749,383538,386990,389225,391512,392952,393576,394151,393280,391918,391911
Randolph County,Arkansas,1688.2,27/sq mi (11/km2),17969,17969,17955,17973,17840,17625,17569,17437,17444,17665,17970,17958
St. Francis County,Arkansas,1640,44/sq mi (17/km2),28258,28253,28194,27994,27992,27508,27088,26651,26347,25997,25509,24994
Saline County,Arkansas,1880,150/sq mi (57/km2),107118,107135,107656,109553,111442,113348,114874,116390,117656,119520,121074,122437
Scott County,Arkansas,2310,13/sq mi (4.8/km2),11233,11241,11275,11264,11033,10934,10686,10561,10332,10369,10339,10281
Searcy County,Arkansas,1720,12/sq mi (4.7/km2),8195,8195,8182,8078,8005,7991,7924,7835,7968,7927,7930,7881
Sebastian County,Arkansas,1380,230/sq mi (89/km2),125744,125740,125737,127010,127571,127173,126733,127385,127385,127786,127570,127827
Sevier County,Arkansas,1460,29/sq mi (11/km2),17058,17059,17151,17218,17188,17356,17410,17262,16971,17103,17061,17007
Sharp County,Arkansas,1560,28/sq mi (11/km2),17264,17263,17250,17270,17034,17043,16820,16808,17007,17147,17290,17442
Stone County,Arkansas,1571.1,20/sq mi (7.9/km2),12394,12394,12389,12500,12542,12423,12381,12386,12509,12520,12454,12506
Union County,Arkansas,2690,40/sq mi (20/km2),41639,41639,41573,41402,40861,40604,40136,40086,39879,39460,39139,38682
Van Buren County,Arkansas,1830,24/sq mi (9.2/km2),17295,17296,17310,17214,17162,16985,16907,16808,16669,16552,16635,16545
Washington County,Arkansas,2448.7,210/sq mi (82/km2),203065,203050,204024,208051,211756,216000,219941,224434,228482,232732,236611,239187
White County,Arkansas,2680,74/sq mi (29/km2),77076,77086,77356,78083,78641,78567,78471,78915,78917,78844,78381,78753
Woodruff County,Arkansas,1520,12/sq mi (4.7/km2),7260,7264,7236,7164,7052,7018,6860,6706,6600,6575,6466,6320
Yell County,Arkansas,2400,23/sq mi (9.0/km2),22185,22183,22146,21964,21824,21819,21768,21506,21502,21509,21462,21341
Alameda County,California,1910,"1,800/sq mi (710/km2)",1510271,1510258,1512986,1530915,1553764,1579593,1607792,1634538,1650950,1660196,1666756,1671329
Alpine County,California,1910,1.6/sq mi (0.61/km2),1175,1175,1161,1093,1110,1128,1080,1077,1047,1111,1089,1129
Amador County,California,1540,63/sq mi (24/km2),38091,38091,37886,37543,37104,36620,36726,37031,37429,38529,39405,39752
Butte County,California,4240,130/sq mi (51/km2),220000,220005,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186
Calaveras County,California,2600,39/sq mi (15/km2),45578,45578,45468,45160,44815,44655,44671,44965,45322,45681,45698,45905
Colusa County,California,2980,19/sq mi (7.2/km2),21419,21407,21437,21323,21284,21250,21176,21231,21496,21579,21418,21547
Contra Costa County,California,1854.3,"1,300/sq mi (500/km2)",1049025,1049204,1052540,1065440,1077548,1093401,1108876,1124405,1137268,1145535,1150519,1153526
Del Norte County,California,2610,23/sq mi (9.0/km2),28610,28610,28566,28443,28190,27816,27175,27190,27382,27351,27740,27812
El Dorado County,California,4420,100/sq mi (39/km2),181058,181058,181136,180936,180575,181481,183108,184569,185976,188679,190746,192843
Fresno County,California,15430,150/sq mi (60/km2),930450,930507,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101
Glenn County,California,3400,21/sq mi (8.2/km2),28122,28122,28127,28139,27851,27809,27831,27753,27840,27926,27967,28393
Humboldt County,California,9240,33/sq mi (13/km2),134623,134611,135009,135243,134572,134403,134494,135102,136290,136507,136244,135558
Imperial County,California,10820,39/sq mi (15/km2),174528,174524,174716,175786,176575,176438,177974,178937,180179,181649,181523,181215
Inyo County,California,26370,1.8/sq mi (0.70/km2),18546,18542,18511,18392,18351,18357,18292,18108,17922,17868,17946,18039
Kern County,California,21060,100/sq mi (40/km2),839631,839621,840996,847970,853606,862000,869176,876031,880856,887356,893758,900202
Kings County,California,3600,110/sq mi (42/km2),152982,152974,152370,151868,150991,150337,149495,150085,149382,149665,151382,152940
Lake County,California,3250,49/sq mi (19/km2),64665,64662,64735,64251,63954,63796,64044,64260,63903,64111,64317,64386
Lassen County,California,11760,7.4/sq mi (2.9/km2),34895,34895,34831,34246,33629,32129,31664,31256,30721,30920,30618,30573
Los Angeles County,California,10510,"2,100/sq mi (800/km2)",9818605,9819968,9823246,9876482,9935375,9992484,10040072,10085416,10105708,10103711,10073906,10039107
Madera County,California,5530,70/sq mi (27/km2),150865,150834,150986,151675,151527,151370,153456,153576,153956,155423,156882,157327
Marin County,California,1300,300/sq mi (120/km2),252409,252430,252904,255376,256061,258409,260359,260916,260562,259749,259662,258826
Mariposa County,California,3750,12/sq mi (4.8/km2),18251,18247,18277,18170,17881,17809,17714,17622,17456,17414,17405,17203
Mendocino County,California,9080,25/sq mi (10/km2),87841,87850,87799,87334,87288,87054,87225,87107,87285,87576,87401,86749
Merced County,California,5010,130/sq mi (50/km2),255793,255796,256721,259297,260867,262026,264419,266353,267628,271096,274151,277680
Modoc County,California,10150,2.3/sq mi (0.89/km2),9686,9682,9694,9509,9351,9145,9068,9056,8961,8876,8800,8841
Mono County,California,7900,4.5/sq mi (1.8/km2),14202,14206,14257,14422,14331,14067,14134,14077,14273,14354,14403,14444
Monterey County,California,8500,110/sq mi (42/km2),415057,415059,416373,420456,424788,426712,428475,430552,433953,434534,433950,434061
Napa County,California,1940,170/sq mi (67/km2),136484,136535,136759,137691,138538,139580,140405,140862,140840,139878,138789,137744
